genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00799095314853423,0.007799062275931814,1000,0.00019189087260241666,0.17782217782217782
Danklied des Einzelnen,0.06140556585383536,0.06915243000806047,1000,-0.007746864154225111,1.0
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10870435434037042,0.11292069296555035,1000,-0.004216338625179936,0.999000999000999
Klagelied des Einzelnen,0.19300864113610383,0.1831050808671328,1000,0.009903560268971018,0.000999000999000999
Klagelied des Volkes,0.027806200536379867,0.0275946253462741,1000,0.0002115751901057665,0.3886113886113886
Königspsalm,0.03522107846938588,0.03306264933911696,1000,0.002158429130268917,0.015984015984015984
Liturgie,0.04170089701622616,0.04166122041161418,1000,3.9676604611980915e-05,0.44955044955044954
Mischgedicht,0.038703126169469707,0.04097278430275819,1000,-0.002269658133288485,0.987012987012987
Thronbesteigungslied,0.05273106852811792,0.01814387453143796,1000,0.03458719399667996,0.000999000999000999
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02803039386406482,0.028106019066726988,1000,-7.56252026621676e-05,0.5454545454545454
Zionslied,0.016039625070889636,0.015528934815927787,1000,0.0005106902549618497,0.2087912087912088
prophetische Gerichtsrede,0.0072992700729927005,0.007023195354389827,1000,0.00027607471860287367,0.24275724275724275
"prophetische Schelt-, Droh- und Mahnrede",0.023091458805744522,0.00845184343856025,1000,0.014639615367184272,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
