genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.012665681192802593,0.016183362682394255,1000,-0.0035176814895916623,0.5564435564435565
Danklied des Einzelnen,0.048450682311423875,0.045657158863515845,1000,0.0027935234479080293,0.21178821178821178
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.1305351602883012,0.13866770947987084,1000,-0.008132549191569638,0.922077922077922
Klagelied des Einzelnen,0.20800377751737242,0.21143417178900453,1000,-0.003430394271632109,0.6593406593406593
Klagelied des Volkes,0.030763140716912232,0.037334500083549625,1000,-0.006571359366637393,0.8681318681318682
Königspsalm,0.03652986156412262,0.032744320309993406,1000,0.003785541254129214,0.07692307692307693
Liturgie,0.05857205970815646,0.05808419980124951,1000,0.0004878599069069525,0.3966033966033966
Mischgedicht,0.03781713935832026,0.03543766540337295,1000,0.0023794739549473087,0.2547452547452547
Thronbesteigungslied,0.06284527787804488,0.05987482098740405,1000,0.0029704568906408282,0.3706293706293706
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03507219135678203,0.03340443558839114,1000,0.0016677557683908925,0.2127872127872128
Zionslied,0.027811260016869267,0.037159641668802465,1000,-0.009348381651933198,0.8691308691308691
prophetische Gerichtsrede,0.003424657534246575,0.003438060856839425,1000,-1.3403322592849942e-05,0.5314685314685315
"prophetische Schelt-, Droh- und Mahnrede",0.17104578805609733,0.048228459061325946,1000,0.12281732899477138,0.04495504495504495
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
