genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007372064360102019,0.008425124217901156,1000,-0.0010530598577991376,0.8221778221778222
Danklied des Einzelnen,0.06786393366411224,0.06151224261167181,1000,0.006351691052440427,0.10989010989010989
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.13377361223091588,0.14131871871487203,1000,-0.007545106483956149,0.8431568431568431
Klagelied des Einzelnen,0.17521079501612716,0.16709704489312857,1000,0.008113750122998586,0.026973026973026972
Klagelied des Volkes,0.024931589354703482,0.0230102229910174,1000,0.001921366363686082,0.053946053946053944
Königspsalm,0.035200645965196856,0.030560796584639113,1000,0.004639849380557743,0.01898101898101898
Liturgie,0.046883805148323285,0.050584982048058974,1000,-0.003701176899735689,0.981018981018981
Mischgedicht,0.0318098827281809,0.03342292904631907,1000,-0.0016130463181381685,0.6423576423576424
Thronbesteigungslied,0.056301391608776154,0.03435619884696278,1000,0.02194519276181337,0.11988011988011989
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.05036924228688748,0.0350009917565777,1000,0.015368250530309782,0.1028971028971029
Zionslied,0.029202354886273266,0.02188485212596357,1000,0.007317502760309697,0.04895104895104895
prophetische Gerichtsrede,0.005780346820809248,0.005793518575903975,1000,-1.3171755094726519e-05,0.4195804195804196
"prophetische Schelt-, Droh- und Mahnrede",0.1711427715616364,0.051400941933904876,1000,0.11974182962773153,0.057942057942057944
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
