genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007818369245239666,0.008458315617036418,1000,-0.000639946371796752,0.33466533466533466
Danklied des Einzelnen,0.046384957853553045,0.051604531228413804,1000,-0.005219573374860759,0.8591408591408591
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.08831090440857017,0.09391278196672476,1000,-0.005601877558154583,0.9820179820179821
Klagelied des Einzelnen,0.2124999144446182,0.20453566659271546,1000,0.007964247851902723,0.12387612387612387
Klagelied des Volkes,0.03674865333681518,0.036611505322850825,1000,0.0001371480139643541,0.3626373626373626
Königspsalm,0.024294557382304717,0.028740440046961073,1000,-0.004445882664656356,0.98001998001998
Liturgie,0.05363014215641844,0.053827779539862106,1000,-0.00019763738344366621,0.4885114885114885
Mischgedicht,0.03494546005427872,0.0355989646743833,1000,-0.0006535046201045849,0.4165834165834166
Thronbesteigungslied,0.028489238717105736,0.020350734559196483,1000,0.008138504157909253,0.07992007992007992
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.033605181358933325,0.03433890520141685,1000,-0.000733723842483526,0.45754245754245754
Zionslied,0.019531594267374913,0.019840722258440573,1000,-0.0003091279910656594,0.4175824175824176
prophetische Gerichtsrede,0.005813953488372093,0.00962616400194792,1000,-0.0038122105135758276,0.8111888111888111
"prophetische Schelt-, Droh- und Mahnrede",0.11477939248402544,0.008678042711880595,1000,0.10610134977214485,0.004995004995004995
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
