genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.015262354742917403,0.015885647522139848,1000,-0.0006232927792224445,0.4145854145854146
Danklied des Einzelnen,0.04365473554555015,0.04215253601671163,1000,0.0015021995288385173,0.2597402597402597
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.14353574481672932,0.14644845107315516,1000,-0.00291270625642584,0.7152847152847153
Klagelied des Einzelnen,0.21851214268330593,0.22737142470366412,1000,-0.008859282020358183,0.8671328671328671
Klagelied des Volkes,0.02421945479688862,0.025642082520637956,1000,-0.0014226277237493375,0.8461538461538461
Königspsalm,0.0249426525406494,0.025676923675192018,1000,-0.0007342711345426182,0.7232767232767233
Liturgie,0.060375576617971674,0.060278584462792204,1000,9.699215517947057e-05,0.45554445554445555
Mischgedicht,0.03090082117340358,0.0348789388728395,1000,-0.003978117699435919,0.954045954045954
Thronbesteigungslied,0.09247438342289278,0.06365247268031449,1000,0.028821910742578297,0.13886113886113885
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03863148747809766,0.040703826074305366,1000,-0.002072338596207708,0.7212787212787213
Zionslied,0.037928856409864,0.04769017149702074,1000,-0.00976131508715674,0.9000999000999002
prophetische Gerichtsrede,0.004166666666666667,0.004090200066866339,1000,7.646659980032732e-05,0.4095904095904096
"prophetische Schelt-, Droh- und Mahnrede",0.1715075599849824,0.05709760338309088,1000,0.11440995660189152,0.052947052947052944
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
