genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.013037809529689358,0.017392424776367835,1000,-0.004354615246678477,0.6823176823176823
Danklied des Einzelnen,0.04240544827735941,0.048668092737365796,1000,-0.006262644460006385,0.981018981018981
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.11177117314309665,0.10999612886090279,1000,0.001775044282193855,0.3106893106893107
Klagelied des Einzelnen,0.18669466949988045,0.1865270189976683,1000,0.00016765050221215216,0.47152847152847155
Klagelied des Volkes,0.03003109817144791,0.027275447190158196,1000,0.0027556509812897145,0.1258741258741259
Königspsalm,0.036719907402191984,0.03784859384858137,1000,-0.0011286864463893875,0.5574425574425574
Liturgie,0.05256238158172405,0.047523910504130865,1000,0.005038471077593185,0.002997002997002997
Mischgedicht,0.02820863494661801,0.028035683954259077,1000,0.00017295099235893271,0.4015984015984016
Thronbesteigungslied,0.058946869587495954,0.03018051466361895,1000,0.028766354923877004,0.016983016983016984
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029152852055510322,0.02914471536718269,1000,8.13668832763334e-06,0.45454545454545453
Zionslied,0.025433643214025893,0.026876034224441535,1000,-0.0014423910104156418,0.6093906093906094
prophetische Gerichtsrede,0.021739130434782608,0.012246435443771233,1000,0.009492694991011375,0.052947052947052944
"prophetische Schelt-, Droh- und Mahnrede",0.010183572734336966,0.01576476507946524,1000,-0.005581192345128274,0.44955044955044954
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
