genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.009668223723973229,0.009595004848219625,1000,7.321887575360321e-05,0.41358641358641357
Danklied des Einzelnen,0.043306726202948564,0.045096224363706826,1000,-0.0017894981607582613,0.7362637362637363
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.11388033848637666,0.11161647536559445,1000,0.0022638631207822085,0.25674325674325676
Klagelied des Einzelnen,0.26232870048179047,0.2529393751440008,1000,0.009389325337789689,0.1258741258741259
Klagelied des Volkes,0.03837996209766419,0.03816251433243906,1000,0.00021744776522513581,0.34265734265734266
Königspsalm,0.0368861297072417,0.04242658291063954,1000,-0.005540453203397841,0.7532467532467533
Liturgie,0.04395209536875079,0.04558826783004666,1000,-0.0016361724612958678,0.929070929070929
Mischgedicht,0.04066461467814969,0.05039446228773677,1000,-0.009729847609587082,0.971028971028971
Thronbesteigungslied,0.01842316203575122,0.019970203714968833,1000,-0.0015470416792176117,0.6723276723276723
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04796557527799142,0.04204192344610107,1000,0.00592365183189035,0.23476523476523475
Zionslied,0.021589842489430945,0.015729696331027283,1000,0.005860146158403662,0.005994005994005994
prophetische Gerichtsrede,0.0031645569620253164,0.0031265523737706003,1000,3.800458825471611e-05,0.3516483516483517
"prophetische Schelt-, Droh- und Mahnrede",0.013641297680199279,0.009402490800327434,1000,0.004238806879871845,0.04895104895104895
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
