genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.010500428936701221,0.008185333195458841,1000,0.0023150957412423796,0.060939060939060936
Danklied des Einzelnen,0.05508642040998561,0.04734394704100307,1000,0.007742473368982539,0.04695304695304695
Fluch,nan,nan,1000,nan,0.000999000999000999
Hymnus,0.10505495589814841,0.10795392951213442,1000,-0.002898973613986014,0.7452547452547452
Klagelied des Einzelnen,0.17048962363383413,0.166451379238803,1000,0.004038244395031143,0.1958041958041958
Klagelied des Volkes,0.02383299314234051,0.02949679943618427,1000,-0.005663806293843759,0.9690309690309691
Königspsalm,0.03408362027199314,0.032923164764383624,1000,0.0011604555076095147,0.3116883116883117
Liturgie,0.043798824539379826,0.0445609642823909,1000,-0.0007621397430110713,0.6743256743256744
Mischgedicht,0.028929533096296645,0.029238951695391098,1000,-0.0003094185990944534,0.5054945054945055
Thronbesteigungslied,0.04884822036171856,0.017663583088839814,1000,0.03118463727287875,0.01098901098901099
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.036230367052567436,0.047281255057665096,1000,-0.01105088800509766,0.919080919080919
Zionslied,0.0252657033235884,0.02366459833159967,1000,0.0016011049919887298,0.25074925074925075
prophetische Gerichtsrede,0.007874015748031496,0.013656729447885116,1000,-0.00578271369985362,0.6633366633366633
"prophetische Schelt-, Droh- und Mahnrede",0.021437782076079947,0.019539481439111585,1000,0.001898300636968362,0.22277722277722278
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
