genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005203994963041109,0.005347741184092731,1000,-0.00014374622105162247,0.5074925074925075
Danklied des Einzelnen,0.04253864766913924,0.04215046835801381,1000,0.00038817931112543336,0.21478521478521478
Fluch,0.0031446540880503146,0.0030219702002293623,1000,0.00012268388782095234,0.5184815184815185
Hymnus,0.10958732451144165,0.11061066474205711,1000,-0.0010233402306154549,0.999000999000999
Klagelied des Einzelnen,0.19394070996167734,0.1876858530386286,1000,0.006254856923048752,0.000999000999000999
Klagelied des Volkes,0.049000847819717475,0.048649187502619144,1000,0.0003516603170983304,0.2047952047952048
Königspsalm,0.030144706656062326,0.03302229930887517,1000,-0.002877592652812847,0.978021978021978
Liturgie,0.03933247367251108,0.038563547946908645,1000,0.0007689257256024359,0.22677322677322678
Mischgedicht,0.0403786588265259,0.04137797203881102,1000,-0.0009993132122851217,0.7512487512487512
Thronbesteigungslied,0.017525624730730195,0.014855752719225792,1000,0.0026698720115044036,0.05094905094905095
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.024805552666459483,0.026860882398563202,1000,-0.0020553297321037195,0.984015984015984
Zionslied,0.023246222224862882,0.021016344808348953,1000,0.002229877416513929,0.15684315684315683
prophetische Gerichtsrede,0.007874015748031496,0.007870534248965465,1000,3.4814990660311795e-06,0.47052947052947053
"prophetische Schelt-, Droh- und Mahnrede",0.035338450800295594,0.012563202739836455,1000,0.02277524806045914,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01015029175181821,0.009958145525513759,1000,0.00019214622630445155,0.15684315684315683
