genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007927367086075792,0.007966522741058225,1000,-3.915565498243366e-05,0.6843156843156843
Danklied des Einzelnen,0.03813927054960198,0.0380343920671283,1000,0.00010487848247367482,0.26973026973026976
Fluch,0.002136752136752137,0.002137813438501921,1000,-1.0613017497841312e-06,0.8701298701298701
Hymnus,0.1349925616768039,0.13521446304133491,1000,-0.00022190136453101306,0.7892107892107892
Klagelied des Einzelnen,0.2035753259304666,0.20257763733497058,1000,0.0009976885954960102,0.013986013986013986
Klagelied des Volkes,0.04762259681001389,0.04732135570665784,1000,0.0003012411033560536,0.08591408591408592
Königspsalm,0.041669682283840805,0.03982805532634109,1000,0.0018416269574997174,0.11488511488511488
Liturgie,0.03953942655836563,0.04054616397267759,1000,-0.0010067374143119603,0.996003996003996
Mischgedicht,0.03261385589945059,0.033215391585146775,1000,-0.0006015356856961876,0.8931068931068931
Thronbesteigungslied,0.022754616701122655,0.024190289556945715,1000,-0.0014356728558230607,0.9230769230769231
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02383264856288725,0.024501250837792837,1000,-0.0006686022749055887,0.988011988011988
Zionslied,0.014562270341673327,0.01451651723645977,1000,4.5753105213557424e-05,0.4225774225774226
prophetische Gerichtsrede,0.015151515151515152,0.016657860424599973,1000,-0.0015063452730848213,0.8451548451548452
"prophetische Schelt-, Droh- und Mahnrede",0.03133728312475241,0.0312934410553864,1000,4.384206936600826e-05,0.12387612387612387
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010731734429426707,0.010793648884742378,1000,-6.19144553156703e-05,0.8451548451548452
