genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005392450277688261,0.00555264167268777,1000,-0.00016019139499950843,0.5084915084915085
Danklied des Einzelnen,0.04343427620423142,0.043361280768655176,1000,7.299543557624105e-05,0.4225774225774226
Fluch,0.002976190476190476,0.0029956628015207955,1000,-1.947232533031952e-05,0.5214785214785215
Hymnus,0.10956843514973799,0.11035794868904134,1000,-0.0007895135393033437,0.995004995004995
Klagelied des Einzelnen,0.1953577305148797,0.18955623673289773,1000,0.00580149378198197,0.000999000999000999
Klagelied des Volkes,0.05072570719142154,0.049600222433355025,1000,0.0011254847580665153,0.001998001998001998
Königspsalm,0.02664883682314017,0.02764038682853403,1000,-0.0009915500053938597,0.9000999000999002
Liturgie,0.03765120887754603,0.03735697253445791,1000,0.00029423634308811675,0.3016983016983017
Mischgedicht,0.038808851045817584,0.038372902100906874,1000,0.0004359489449107107,0.3626373626373626
Thronbesteigungslied,0.01450386293795939,0.012896069286701426,1000,0.001607793651257964,0.001998001998001998
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028501712575598144,0.03023006009245101,1000,-0.0017283475168528677,0.981018981018981
Zionslied,0.015901445916224482,0.015164664763190143,1000,0.0007367811530343393,0.16983016983016982
prophetische Gerichtsrede,0.007874015748031496,0.007791157699154046,1000,8.285804887744972e-05,0.4805194805194805
"prophetische Schelt-, Droh- und Mahnrede",0.032616517756834044,0.01739846299786407,1000,0.015218054758969975,0.026973026973026972
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010502454101079976,0.010134922164226541,1000,0.0003675319368534342,0.029970029970029972
