genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004456779079572696,0.00398928430569157,1000,0.00046749477388112557,0.03696303696303696
Danklied des Einzelnen,0.05087597032898021,0.0530959684430085,1000,-0.0022199981140282876,0.9430569430569431
Fluch,0.002364066193853428,0.0026181057960064126,1000,-0.00025403960215298477,0.987012987012987
Hymnus,0.17189286019861466,0.17923985072814083,1000,-0.007346990529526171,0.994005994005994
Klagelied des Einzelnen,0.21588103883394813,0.2171165861378056,1000,-0.0012355473038574705,0.6263736263736264
Klagelied des Volkes,0.043340105055413664,0.04130490002643877,1000,0.00203520502897489,0.004995004995004995
Königspsalm,0.01724709798995382,0.014203903591964608,1000,0.003043194397989212,0.03496503496503497
Liturgie,0.02130801843181933,0.02084741624692244,1000,0.0004606021848968869,0.11188811188811189
Mischgedicht,0.015515935460701128,0.015987131351475288,1000,-0.00047119589077415994,0.6473526473526473
Thronbesteigungslied,0.06445713477027562,0.06294318797463846,1000,0.0015139467956371555,0.18681318681318682
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.013504472217608579,0.013649691361340146,1000,-0.00014521914373156683,0.5444555444555444
Zionslied,0.011329944438949422,0.011955394296837228,1000,-0.0006254498578878061,0.4745254745254745
prophetische Gerichtsrede,0.0025380710659898475,0.00295091321161483,1000,-0.00041284214562498263,0.8421578421578422
"prophetische Schelt-, Droh- und Mahnrede",0.018741316682842638,0.01893097202618582,1000,-0.00018965534334318412,0.3856143856143856
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.02840647034001473,0.01926578062708766,1000,0.009140689712927072,0.0899100899100899
