genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0037855268148581146,0.0036995494064463777,1000,8.597740841173682e-05,0.17682317682317683
Danklied des Einzelnen,0.05059780247176149,0.05171584874470939,1000,-0.0011180462729479049,0.9500499500499501
Fluch,0.003389830508474576,0.003417336602540157,1000,-2.7506094065580904e-05,0.5704295704295704
Hymnus,0.17041761907494266,0.17185046502306767,1000,-0.001432845948125011,0.6723276723276723
Klagelied des Einzelnen,0.22511297986897882,0.22501977608892282,1000,9.320378005600594e-05,0.4785214785214785
Klagelied des Volkes,0.0409782423634259,0.040895541356119315,1000,8.270100730658342e-05,0.3956043956043956
Königspsalm,0.012520845054596923,0.012558786471629724,1000,-3.794141703280032e-05,0.5474525474525475
Liturgie,0.021144076054898736,0.020884039506774518,1000,0.00026003654812421784,0.07592407592407592
Mischgedicht,0.01517440906084103,0.01543562513767309,1000,-0.0002612160768320597,0.7562437562437563
Thronbesteigungslied,0.08114781447809355,0.05801511224552626,1000,0.02313270223256729,0.004995004995004995
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.013968243462787343,0.014069258789161892,1000,-0.00010101532637454835,0.6553446553446554
Zionslied,0.009188360447457532,0.009234382004043664,1000,-4.602155658613161e-05,0.43656343656343655
prophetische Gerichtsrede,0.0033444816053511705,0.003168531626668322,1000,0.00017594997868284864,0.2077922077922078
"prophetische Schelt-, Droh- und Mahnrede",0.03300272746737215,0.023307940875445125,1000,0.009694786591927025,0.03396603396603397
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.02138119522362278,0.015425789992380338,1000,0.0059554052312424405,0.03796203796203796
