genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007811457080129007,0.007738435280001997,1000,7.302180012700929e-05,0.22477522477522477
Danklied des Einzelnen,0.038163804140661665,0.03809648475380246,1000,6.731938685920758e-05,0.3436563436563437
Fluch,0.002136752136752137,0.0021468399219365204,1000,-1.0087785184383427e-05,0.9430569430569431
Hymnus,0.13422943137219667,0.13450061995835133,1000,-0.00027118858615465813,0.8201798201798202
Klagelied des Einzelnen,0.20500631789934726,0.2041535552723758,1000,0.0008527626269714539,0.03796203796203796
Klagelied des Volkes,0.04918963573772229,0.04888681921567023,1000,0.0003028165220520587,0.14485514485514486
Königspsalm,0.039954623427950045,0.03825709716805672,1000,0.001697526259893327,0.18081918081918083
Liturgie,0.039548395580329576,0.040817376398546545,1000,-0.0012689808182169693,0.996003996003996
Mischgedicht,0.03187724373815637,0.03230018865982859,1000,-0.0004229449216722192,0.8471528471528471
Thronbesteigungslied,0.02347363733812607,0.023989175864340444,1000,-0.0005155385262143736,0.6983016983016983
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.0236340244871181,0.02429897382408477,1000,-0.0006649493369666713,0.983016983016983
Zionslied,0.014008731678938608,0.01403613195667663,1000,-2.7400277738022158e-05,0.5424575424575424
prophetische Gerichtsrede,0.016129032258064516,0.01763891970902348,1000,-0.001509887450958966,0.8121878121878122
"prophetische Schelt-, Droh- und Mahnrede",0.03131366972497398,0.03126597380482271,1000,4.7695920151268056e-05,0.12187812187812187
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010681533471507442,0.010762310477855128,1000,-8.077700634768516e-05,0.9000999000999002
