genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004793833523268317,0.004969883666258514,1000,-0.00017605014299019745,0.7402597402597403
Danklied des Einzelnen,0.04359291066785331,0.04399766253974278,1000,-0.0004047518718894652,0.7282717282717283
Fluch,0.004032258064516129,0.004318651506411507,1000,-0.00028639344189537817,0.938061938061938
Hymnus,0.16715741135717377,0.16739473421696222,1000,-0.00023732285978844692,0.46053946053946054
Klagelied des Einzelnen,0.2253424772130668,0.22640478623515228,1000,-0.0010623090220854836,0.6223776223776224
Klagelied des Volkes,0.05069502962256272,0.05002870148784926,1000,0.0006663281347134564,0.5074925074925075
Königspsalm,0.016987393297230508,0.01725341002583481,1000,-0.00026601672860430275,0.6013986013986014
Liturgie,0.02637346844720106,0.027783859959556026,1000,-0.0014103915123549644,0.993006993006993
Mischgedicht,0.015123135644939788,0.014562191108467687,1000,0.0005609445364721018,0.12087912087912088
Thronbesteigungslied,0.05893571138548543,0.058099335151121125,1000,0.0008363762343643055,0.2097902097902098
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01679746854650088,0.01655306214421626,1000,0.0002444064022846179,0.14885114885114886
Zionslied,0.018968512407553532,0.017811766372380772,1000,0.0011567460351727607,0.026973026973026972
prophetische Gerichtsrede,0.004149377593360996,0.004150963889890183,1000,-1.586296529187091e-06,0.4025974025974026
"prophetische Schelt-, Droh- und Mahnrede",0.037386250584822256,0.04124529947925597,1000,-0.0038590488944337115,0.34565434565434566
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.034377075973257544,0.03585611420154985,1000,-0.0014790382282923037,0.9340659340659341
