genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0040566381358509715,0.004081625739446643,1000,-2.498760359567146e-05,0.9210789210789211
Danklied des Einzelnen,0.03681998208099581,0.03700528708075885,1000,-0.00018530499976304043,0.7892107892107892
Fluch,0.0030120481927710845,0.002998456850229714,1000,1.3591342541370566e-05,0.3336663336663337
Hymnus,0.13226990018107015,0.13260343726509546,1000,-0.00033353708402530935,0.8661338661338661
Klagelied des Einzelnen,0.18870446414071118,0.1890661995787876,1000,-0.0003617354380764104,0.7312687312687313
Klagelied des Volkes,0.04651280846100457,0.0457483081513466,1000,0.0007645003096579672,0.04795204795204795
Königspsalm,0.03585867919880235,0.03481255118283179,1000,0.0010461280159705585,0.20679320679320679
Liturgie,0.03172960591050876,0.0315256197637281,1000,0.0002039861467806603,0.2597402597402597
Mischgedicht,0.023574116724499536,0.0257476653738283,1000,-0.002173548649328765,0.9760239760239761
Thronbesteigungslied,0.03795687843779668,0.03762690417883925,1000,0.00032997425895742866,0.34565434565434566
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02779729782531804,0.02664263909460445,1000,0.0011546587307135932,0.34065934065934067
Zionslied,0.009677844386528342,0.010500066755023732,1000,-0.0008222223684953896,0.9500499500499501
prophetische Gerichtsrede,0.015873015873015872,0.01584601304650609,1000,2.7002826509782418e-05,0.4035964035964036
"prophetische Schelt-, Droh- und Mahnrede",0.009339366912773194,0.009253551524985876,1000,8.581538778731738e-05,0.36563436563436563
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012330653964280897,0.012319452919610147,1000,1.1201044670750351e-05,0.46053946053946054
