genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007590415736810233,0.010241933563760686,1000,-0.0026515178269504525,0.4195804195804196
Danklied des Einzelnen,0.04382278040564721,0.04914235001354882,1000,-0.005319569607901614,0.985014985014985
Fluch,0.0020325203252032522,0.0020412988948938075,1000,-8.778569690555231e-06,0.5004995004995005
Hymnus,0.11616031962470222,0.1195973525297349,1000,-0.0034370329050326803,0.997002997002997
Klagelied des Einzelnen,0.20197781033360698,0.19534421483544592,1000,0.00663359549816106,0.03696303696303696
Klagelied des Volkes,0.048404880821269286,0.04716366749139748,1000,0.0012412133298718084,0.12687312687312688
Königspsalm,0.02490537150110976,0.020725323043868975,1000,0.004180048457240786,0.08691308691308691
Liturgie,0.04028674629230396,0.03604989990958176,1000,0.004236846382722197,0.061938061938061936
Mischgedicht,0.032580914419276116,0.02972873069467025,1000,0.002852183724605866,0.15784215784215785
Thronbesteigungslied,0.013345384044224005,0.014655571172784921,1000,-0.0013101871285609162,0.6723276723276723
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.06520511630691081,0.051206554762883064,1000,0.013998561544027746,0.07792207792207792
Zionslied,0.013994466344207906,0.017102255860902946,1000,-0.0031077895166950406,0.5674325674325674
prophetische Gerichtsrede,0.003663003663003663,0.004699026208499593,1000,-0.0010360225454959298,0.957042957042957
"prophetische Schelt-, Droh- und Mahnrede",0.016451447450735283,0.009317512326474278,1000,0.007133935124261005,0.007992007992007992
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.009904409652402035,0.010762058046641728,1000,-0.0008576483942396938,0.8381618381618382
