genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005488620092051685,0.005057899033555127,1000,0.0004307210584965585,0.029970029970029972
Danklied des Einzelnen,0.04682508268838141,0.046765147267785155,1000,5.9935420596256284e-05,0.43656343656343655
Fluch,0.006024096385542169,0.005379104415217566,1000,0.0006449919703246029,0.08691308691308691
Hymnus,0.171390815119576,0.1680532002542121,1000,0.0033376148653638804,0.07892107892107893
Klagelied des Einzelnen,0.2297803157582768,0.23247467867204094,1000,-0.0026943629137641534,0.8071928071928072
Klagelied des Volkes,0.04856650713776792,0.049099654875141424,1000,-0.0005331477373735072,0.5984015984015985
Königspsalm,0.01089320292087869,0.011530902946840407,1000,-0.0006377000259617169,0.996003996003996
Liturgie,0.023823354356561844,0.025552458825684448,1000,-0.001729104469122604,0.997002997002997
Mischgedicht,0.015052191326426632,0.014990023534350364,1000,6.216779207626755e-05,0.40559440559440557
Thronbesteigungslied,0.05748876889497648,0.05788029762495352,1000,-0.00039152872997703925,0.4925074925074925
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.010914737248684428,0.011334670624684726,1000,-0.0004199333760002977,1.0
Zionslied,0.018028950098089344,0.017341581449659995,1000,0.0006873686484293491,0.3546453546453546
prophetische Gerichtsrede,0.0034129692832764505,0.003793504623678196,1000,-0.0003805353404017454,0.6443556443556444
"prophetische Schelt-, Droh- und Mahnrede",0.038105150043435426,0.033846892395014976,1000,0.004258257648420451,0.07492507492507493
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.020206272161608377,0.03378733987608257,1000,-0.01358106771447419,1.0
