genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.014008992401183428,0.014880960750821641,1000,-0.0008719683496382132,0.8671328671328671
Danklied des Einzelnen,0.03916011972376889,0.03901015573885954,1000,0.00014996398490935148,0.08391608391608392
Fluch,0.0027548209366391185,0.002755976820768383,1000,-1.1558841292646713e-06,0.8381618381618382
Hymnus,0.13066216877330122,0.1308781438843645,1000,-0.00021597511106327683,0.8331668331668332
Klagelied des Einzelnen,0.20181541394254998,0.2014439063531628,1000,0.0003715075893871711,0.15184815184815184
Klagelied des Volkes,0.04773527230228787,0.04709943219639143,1000,0.000635840105896443,0.006993006993006993
Königspsalm,0.032201905966530296,0.03175422402654001,1000,0.0004476819399902854,0.2517482517482518
Liturgie,0.03509155744172571,0.03528492598630882,1000,-0.00019336854458311403,0.968031968031968
Mischgedicht,0.034200366864548346,0.03410005921175447,1000,0.00010030765279387538,0.3726273726273726
Thronbesteigungslied,0.021796065529674776,0.021827312965378994,1000,-3.124743570421737e-05,0.5254745254745254
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.025059812951654534,0.025702448668493173,1000,-0.0006426357168386396,1.0
Zionslied,0.014991166272220632,0.014634827969600958,1000,0.00035633830261967356,0.03996003996003996
prophetische Gerichtsrede,0.027777777777777776,0.02797885139691014,1000,-0.00020107361913236296,0.5774225774225774
"prophetische Schelt-, Droh- und Mahnrede",0.03166762925978448,0.03161860457898917,1000,4.902468079531069e-05,0.24775224775224775
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011632356797915192,0.011576899938469882,1000,5.545685944531066e-05,0.48951048951048953
