genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005490287361570834,0.005460979675252854,1000,2.9307686317979996e-05,0.38461538461538464
Danklied des Einzelnen,0.04333240388025514,0.042552944902255106,1000,0.0007794589780000319,0.11788211788211789
Fluch,0.003134796238244514,0.0029765563214448772,1000,0.00015823991679963676,0.5114885114885115
Hymnus,0.11058718383769597,0.11134470178495368,1000,-0.000757517947257702,0.958041958041958
Klagelied des Einzelnen,0.19881020169568017,0.19372814516614129,1000,0.005082056529538886,0.002997002997002997
Klagelied des Volkes,0.05050762371661929,0.05011381115814166,1000,0.0003938125584776325,0.25674325674325676
Königspsalm,0.032450686252253474,0.033111576358298506,1000,-0.0006608901060450312,0.6073926073926074
Liturgie,0.03849090636712389,0.03865350621192676,1000,-0.00016259984480286593,0.5074925074925075
Mischgedicht,0.03987042482807349,0.03930787323769681,1000,0.0005625515903766865,0.38161838161838163
Thronbesteigungslied,0.02259034403454544,0.019609414833622607,1000,0.002980929200922834,0.16283716283716285
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.023537507814630643,0.025859197213963115,1000,-0.0023216893993324716,0.9310689310689311
Zionslied,0.023051508596669667,0.022239326333836514,1000,0.0008121822628331526,0.35364635364635366
prophetische Gerichtsrede,0.006802721088435374,0.007479244678748056,1000,-0.0006765235903126825,0.6393606393606394
"prophetische Schelt-, Droh- und Mahnrede",0.0350791548625538,0.014997540666457716,1000,0.020081614196096085,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010090183318684246,0.009900377474294956,1000,0.00018980584438929061,0.16383616383616384
