genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0038789754661606815,0.003950592453358366,1000,-7.161698719768432e-05,0.6393606393606394
Danklied des Einzelnen,0.04408812901465903,0.044885621789698876,1000,-0.0007974927750398486,0.8101898101898102
Fluch,0.004048582995951417,0.0033351444240917517,1000,0.0007134385718596654,0.008991008991008992
Hymnus,0.17347965712830007,0.17417876816730765,1000,-0.0006991110390075772,0.6303696303696303
Klagelied des Einzelnen,0.2056103302235606,0.20796223026393423,1000,-0.002351900040373639,0.8331668331668332
Klagelied des Volkes,0.045227433625784394,0.04396128602892612,1000,0.0012661475968582733,0.10989010989010989
Königspsalm,0.015173905780716937,0.015177116659481304,1000,-3.210878764366848e-06,0.43456543456543456
Liturgie,0.02304208527238831,0.023001729864511208,1000,4.0355407877102484e-05,0.46053946053946054
Mischgedicht,0.012833019481185587,0.013228555829020895,1000,-0.0003955363478353076,0.6843156843156843
Thronbesteigungslied,0.06570751959351248,0.06431209885043988,1000,0.0013954207430725979,0.18281718281718282
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.024663053080120068,0.016608635752611064,1000,0.008054417327509004,0.024975024975024976
Zionslied,0.0072088712649725755,0.010535396346389034,1000,-0.003326525081416459,0.6023976023976024
prophetische Gerichtsrede,0.006535947712418301,0.004353859156369719,1000,0.0021820885560485817,0.000999000999000999
"prophetische Schelt-, Droh- und Mahnrede",0.02175069212788871,0.02016281496199364,1000,0.00158787716589507,0.01998001998001998
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01303594113263085,0.01279968748942318,1000,0.00023625364320766992,0.21078921078921078
