genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0058216180736662786,0.005759594389337079,1000,6.202368432919967e-05,0.3756243756243756
Danklied des Einzelnen,0.04285344099227627,0.04573960133158221,1000,-0.002886160339305943,0.9690309690309691
Fluch,0.0024330900243309003,0.0021631575549194665,1000,0.00026993246941143384,0.09290709290709291
Hymnus,0.11678083231785749,0.11785996263043555,1000,-0.0010791303125780582,0.8821178821178821
Klagelied des Einzelnen,0.1898661883257189,0.18675689302011136,1000,0.0031092953056075234,0.10789210789210789
Klagelied des Volkes,0.050903352403920285,0.04844072408857748,1000,0.002462628315342802,0.02197802197802198
Königspsalm,0.03060581871986634,0.028141415062414098,1000,0.0024644036574522424,0.14785214785214784
Liturgie,0.03534333215848759,0.03444508982235039,1000,0.0008982423361372019,0.23276723276723277
Mischgedicht,0.03675505612177458,0.03746593124280574,1000,-0.000710875121031164,0.5314685314685315
Thronbesteigungslied,0.01830514059842863,0.016341879624780217,1000,0.0019632609736484133,0.1998001998001998
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.022715679799449044,0.022380667681269565,1000,0.0003350121181794792,0.35864135864135865
Zionslied,0.026364570988022036,0.027948302505627232,1000,-0.0015837315176051962,0.4775224775224775
prophetische Gerichtsrede,0.0037593984962406013,0.004563620188953367,1000,-0.0008042216927127655,0.7882117882117882
"prophetische Schelt-, Droh- und Mahnrede",0.024458623351831552,0.011241444784931892,1000,0.01321717856689966,0.025974025974025976
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.009140406986410454,0.009234187471151277,1000,-9.378048474082377e-05,0.6423576423576424
