genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0062065319488380875,0.004451604478484094,1000,0.0017549274703539935,0.006993006993006993
Danklied des Einzelnen,0.04816263016031995,0.04891499716682501,1000,-0.0007523670065050572,0.7672327672327672
Fluch,0.003105590062111801,0.002823565277694911,1000,0.00028202478441689,0.24375624375624375
Hymnus,0.16097523106666217,0.1630979381602845,1000,-0.0021227070936223336,0.8731268731268731
Klagelied des Einzelnen,0.21960796071380984,0.22360291427948192,1000,-0.003994953565672088,0.8861138861138861
Klagelied des Volkes,0.04475174429669563,0.0460302490150834,1000,-0.0012785047183877726,0.8291708291708292
Königspsalm,0.014662902938853084,0.014019935390531462,1000,0.000642967548321622,0.14985014985014986
Liturgie,0.023883540641052352,0.027607655442553537,1000,-0.0037241148015011855,0.8531468531468531
Mischgedicht,0.015405497638426892,0.016374971534961813,1000,-0.0009694738965349212,0.7542457542457542
Thronbesteigungslied,0.07315778102780292,0.06022973490218667,1000,0.012928046125616245,0.03996003996003996
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.016225008980838174,0.016865418059096214,1000,-0.0006404090782580404,0.5674325674325674
Zionslied,0.01363559964949975,0.019264614207267942,1000,-0.005629014557768191,0.8161838161838162
prophetische Gerichtsrede,0.004464285714285714,0.004157683625121356,1000,0.00030660208916435776,0.24875124875124874
"prophetische Schelt-, Droh- und Mahnrede",0.01960735369650554,0.021058188292277943,1000,-0.0014508345957724017,0.5524475524475524
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.016822370973322814,0.019305379465036503,1000,-0.002483008491713689,0.8411588411588412
