genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005118060060341867,0.004481044678337787,1000,0.0006370153820040797,0.13086913086913088
Danklied des Einzelnen,0.05377785026056079,0.05189951688700463,1000,0.001878333373556161,0.000999000999000999
Fluch,0.003830970734280405,0.0037850441277671775,1000,4.5926606513227615e-05,0.31368631368631367
Hymnus,0.14669156510922865,0.14624237616771052,1000,0.0004491889415181305,0.22877122877122877
Klagelied des Einzelnen,0.14991354776772622,0.1440115450026605,1000,0.0059020027650657225,0.000999000999000999
Klagelied des Volkes,0.035285713788049025,0.035132183217308086,1000,0.00015353057074093956,0.3876123876123876
Königspsalm,0.026591142387903173,0.02718393334370269,1000,-0.0005927909557995187,0.8791208791208791
Legende,0.03372958795160335,0.06352565444681108,1000,-0.029796066495207725,0.986013986013986
Liturgie,0.029065506685884993,0.029506051405603324,1000,-0.0004405447197183311,0.6963036963036963
Mischgedicht,0.0373805058364749,0.03605062478623053,1000,0.0013298810502443692,0.28471528471528473
Segensspruch,0.017328741811538706,0.01596251356807471,1000,0.001366228243463996,0.000999000999000999
Segenswunsch,0.006787627643703529,0.006349438875449836,1000,0.00043818876825369325,0.057942057942057944
Siegeslied,0.0038991551733133243,0.003943230165135767,1000,-4.40749918224426e-05,0.5514485514485514
Thronbesteigungslied,0.01357720875872256,0.013427245624975062,1000,0.00014996313374749867,0.35764235764235763
Tora,0.0018823501834331492,0.0020326755238878817,1000,-0.00015032534045473253,0.4785214785214785
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027424248875512532,0.027131389423764453,1000,0.0002928594517480794,0.13286713286713286
Zionslied,0.012181239069988784,0.022819587227236236,1000,-0.010638348157247452,0.9920079920079921
prophetische Gerichtsrede,0.005747126436781609,0.005690394130799394,1000,5.67323059822147e-05,0.47152847152847155
prophetische Redeweise,0.010348025654777224,0.01021194134123855,1000,0.00013608431353867405,0.18681318681318682
"prophetische Schelt-, Droh- und Mahnrede",0.03033137996724717,0.006505752402917347,1000,0.02382562756432982,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.005637346606318257,0.006165310194176181,1000,-0.0005279635878579231,0.996003996003996
