genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006569793343481673,0.004255173114065057,1000,0.002314620229416616,0.012987012987012988
Danklied des Einzelnen,0.05448312666170478,0.0527680508440456,1000,0.0017150758176591799,0.000999000999000999
Fluch,0.004063205404119019,0.003997718343800896,1000,6.548706031812325e-05,0.3006993006993007
Hymnus,0.14958675571653116,0.1488499715507118,1000,0.0007367841658193486,0.17482517482517482
Klagelied des Einzelnen,0.15488441641710465,0.1491757616571031,1000,0.005708654760001541,0.006993006993006993
Klagelied des Volkes,0.036209562115684366,0.03499259312188317,1000,0.001216968993801193,0.04595404595404595
Königspsalm,0.027305264750060135,0.02788966021359954,1000,-0.0005843954635394062,0.8101898101898102
Legende,0.027719502719502718,0.0355503316560276,1000,-0.00783082893652488,0.8201798201798202
Liturgie,0.02762144644088756,0.028779690531829112,1000,-0.0011582440909415521,0.8751248751248751
Mischgedicht,0.03293924376502289,0.03066087805931025,1000,0.002278365705712642,0.14585414585414586
Segensspruch,0.017845300191860917,0.016776341395692496,1000,0.0010689587961684212,0.000999000999000999
Segenswunsch,0.007387943103387541,0.007365645986715433,1000,2.2297116672107854e-05,0.26873126873126874
Siegeslied,0.004150578919772916,0.004161815123825523,1000,-1.1236204052606814e-05,0.3886113886113886
Thronbesteigungslied,0.01632743158526102,0.017003066136248222,1000,-0.0006756345509872017,0.5084915084915085
Tora,0.0018902999661133415,0.003380618145762704,1000,-0.0014903181796493627,0.8411588411588412
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027119276163657238,0.026903244480624224,1000,0.00021603168303301404,0.2517482517482518
Zionslied,0.014519630100558081,0.03665668032728182,1000,-0.022137050226723735,0.998001998001998
prophetische Gerichtsrede,0.005555555555555556,0.0059598875774433645,1000,-0.0004043320218878087,0.6313686313686314
prophetische Redeweise,0.010292063503360663,0.01013677680570627,1000,0.0001552866976543936,0.1938061938061938
"prophetische Schelt-, Droh- und Mahnrede",0.030952174442311128,0.007610641860882447,1000,0.02334153258142868,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.005605359756386204,0.006162900287021886,1000,-0.0005575405306356817,0.997002997002997
