genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00422411050543348,0.00432183512667708,1000,-9.772462124359952e-05,0.35864135864135865
Danklied des Einzelnen,0.0733801462087889,0.07250919226215931,1000,0.0008709539466295879,0.2987012987012987
Fluch,0.007063377786656592,0.007066077141406405,1000,-2.6993547498129628e-06,0.44555444555444557
Hymnus,0.16512681668596796,0.16681550311428778,1000,-0.0016886864283198189,0.9440559440559441
Klagelied des Einzelnen,0.13181603123545538,0.1329900153807764,1000,-0.001173984145321022,0.8271728271728271
Klagelied des Volkes,0.03561321240341307,0.036673030103391076,1000,-0.0010598176999780037,0.8551448551448552
Königspsalm,0.025539208678328307,0.024946426372536835,1000,0.000592782305791472,0.21678321678321677
Legende,0.023001157762113936,0.058101671986813194,1000,-0.03510051422469926,0.949050949050949
Liturgie,0.022758940603589864,0.021361975362438435,1000,0.0013969652411514287,0.1048951048951049
Mischgedicht,0.012594452630579612,0.01456809931977568,1000,-0.0019736466891960673,0.8681318681318682
Segensspruch,0.025294103730391516,0.0256449665612627,1000,-0.00035086283087118475,0.6393606393606394
Segenswunsch,0.010815917739898758,0.01059093979523372,1000,0.00022497794466503837,0.34865134865134867
Siegeslied,0.0067037134121945546,0.006943392368230392,1000,-0.00023967895603583741,0.5704295704295704
Thronbesteigungslied,0.03685152926366259,0.03887229316300902,1000,-0.0020207638993464255,0.5874125874125874
Tora,1.0,0.9945777777777778,1000,0.005422222222222217,0.973026973026973
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.032199016943521376,0.032326596107518826,1000,-0.00012757916399745023,0.5754245754245755
Zionslied,0.011977464946970594,0.012966279044260447,1000,-0.0009888140972898526,0.6753246753246753
prophetische Gerichtsrede,0.0013227513227513227,0.0013068937013492575,1000,1.58576214020652e-05,0.34465534465534464
prophetische Redeweise,0.020735991654767784,0.024449719444186155,1000,-0.003713727789418371,0.8881118881118881
"prophetische Schelt-, Droh- und Mahnrede",0.029437815322208242,0.031807924747197056,1000,-0.0023701094249888137,0.5264735264735265
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01789476532316997,0.014783974347404917,1000,0.0031107909757650525,0.1018981018981019
