genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006891073840359126,0.012172061398059125,1000,-0.005280987557699999,0.5514485514485514
Danklied des Einzelnen,0.05543181285430737,0.0543112840371098,1000,0.0011205288171975691,0.08191808191808192
Fluch,0.0065620565118097015,0.007433789076389026,1000,-0.0008717325645793243,0.8621378621378621
Hymnus,0.15524815858413787,0.1554769589632393,1000,-0.00022880037910141815,0.5814185814185814
Klagelied des Einzelnen,0.13621635591049558,0.1378068092936516,1000,-0.0015904533831560264,0.7382617382617382
Klagelied des Volkes,0.041176548930726975,0.04142297714174084,1000,-0.00024642821101386603,0.5454545454545454
Königspsalm,0.02318779823220228,0.023422457717329457,1000,-0.0002346594851271762,0.5764235764235764
Legende,0.1976190476190476,0.18874564444170228,1000,0.008873403177345335,0.35864135864135865
Liturgie,0.0273609572869405,0.02847800147359627,1000,-0.0011170441866557683,0.9270729270729271
Mischgedicht,0.015216500545670798,0.016581161977059524,1000,-0.0013646614313887265,0.8961038961038961
Segensspruch,0.03214910536188116,0.028575305416587243,1000,0.0035737999452939186,0.016983016983016984
Segenswunsch,0.008170932445604497,0.008549560563097141,1000,-0.00037862811749264473,0.7872127872127872
Siegeslied,0.00924458840605142,0.009766867746229778,1000,-0.0005222793401783582,0.6753246753246753
Thronbesteigungslied,0.040684480670714764,0.034625972408916496,1000,0.006058508261798268,0.15084915084915085
Tora,0.0019785626382657715,0.0019856879435423886,1000,-7.125305276617106e-06,0.4805194805194805
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04520351966409342,0.0433962931194113,1000,0.001807226544682114,0.06993006993006994
Zionslied,0.00945763283121702,0.010704549672204682,1000,-0.0012469168409876621,0.9600399600399601
prophetische Gerichtsrede,0.0019011406844106464,0.002053989832664666,1000,-0.00015284914825401956,0.8161838161838162
prophetische Redeweise,0.01983798397042255,0.01945087219478901,1000,0.0003871117756335425,0.3226773226773227
"prophetische Schelt-, Droh- und Mahnrede",0.008811947796204337,0.008154362024042735,1000,0.0006575857721616025,0.1048951048951049
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007055417210847119,0.0072220106393948635,1000,-0.00016659342854774464,0.6483516483516484
