genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00400047533838409,0.0037594717619928116,1000,0.00024100357639127807,0.11488511488511488
Danklied des Einzelnen,0.05366872801206106,0.05287668043495641,1000,0.0007920475771046459,0.000999000999000999
Fluch,0.004006915943068429,0.0038519811231718234,1000,0.00015493481989660527,0.026973026973026972
Hymnus,0.14915152325005404,0.14780501203146698,1000,0.0013465112185870598,0.000999000999000999
Klagelied des Einzelnen,0.14077845847218365,0.13831734181272806,1000,0.0024611166594555867,0.000999000999000999
Klagelied des Volkes,0.03418566762788264,0.03436404104097869,1000,-0.00017837341309605292,0.7952047952047953
Königspsalm,0.026001499897732008,0.025447321856554163,1000,0.0005541780411778448,0.003996003996003996
Legende,0.11969696969696969,0.13161255243797754,1000,-0.011915582741007846,0.5484515484515484
Liturgie,0.03052589258169635,0.030956809226276916,1000,-0.00043091664458056594,0.8891108891108891
Mischgedicht,0.03293031048405008,0.034831974701028924,1000,-0.001901664216978842,0.987012987012987
Segensspruch,0.01689355932442722,0.01553388441445616,1000,0.0013596749099710603,0.000999000999000999
Segenswunsch,0.006606342586486295,0.006340046075877606,1000,0.0002662965106086891,0.04395604395604396
Siegeslied,0.0039063515884712316,0.0038449679946598084,1000,6.138359381142313e-05,0.26673326673326675
Thronbesteigungslied,0.012709042526796804,0.011110360566304362,1000,0.001598681960492442,0.000999000999000999
Tora,0.0017665445579191394,0.0018285610985970745,1000,-6.201654067793517e-05,0.7012987012987013
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027537649781474972,0.02765257862277794,1000,-0.00011492884130296852,0.8251748251748252
Zionslied,0.011209553237652213,0.011890543307087286,1000,-0.0006809900694350734,0.9250749250749251
prophetische Gerichtsrede,0.00558659217877095,0.005957078798065927,1000,-0.000370486619294977,0.8041958041958042
prophetische Redeweise,0.01088818157527547,0.010690750124611856,1000,0.00019743145066361371,0.015984015984015984
"prophetische Schelt-, Droh- und Mahnrede",0.030749920394849854,0.0064897092920555705,1000,0.024260211102794284,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.005789172925789357,0.005918861553009069,1000,-0.00012968862721971213,0.9250749250749251
