genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.016112917385825404,0.00616118426284655,1000,0.009951733122978854,0.03296703296703297
Danklied des Einzelnen,0.07473687908178038,0.0753278728500743,1000,-0.0005909937682939265,0.6683316683316683
Fluch,0.007092923746004039,0.007066499827571226,1000,2.6423918432812686e-05,0.43656343656343655
Hymnus,0.16580186834476363,0.16672686785760232,1000,-0.0009249995128386979,0.8401598401598401
Klagelied des Einzelnen,0.13590925647105612,0.1357009532059183,1000,0.00020830326513782138,0.3926073926073926
Klagelied des Volkes,0.03507160532682468,0.035675660615403074,1000,-0.0006040552885783965,0.8051948051948052
Königspsalm,0.025302289074234582,0.024999657090612522,1000,0.0003026319836220599,0.3086913086913087
Legende,0.05353983806218956,0.054224366508368566,1000,-0.0006845284461790072,0.5044955044955045
Liturgie,0.023122135798068676,0.02172470329950684,1000,0.0013974324985618347,0.06293706293706294
Mischgedicht,0.015094609839712107,0.01516450169501922,1000,-6.989185530711234e-05,0.35764235764235763
Segensspruch,0.02470384694248348,0.024841730719490047,1000,-0.0001378837770065651,0.5554445554445554
Segenswunsch,0.010919276425923396,0.010933605133019187,1000,-1.4328707095790857e-05,0.4935064935064935
Siegeslied,0.006175979202654735,0.006291087304090401,1000,-0.00011510810143566634,0.5654345654345654
Thronbesteigungslied,0.037736519405644674,0.03949739292830222,1000,-0.0017608735226575453,0.5854145854145855
Tora,1.0,0.992,1000,0.008000000000000007,0.984015984015984
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03126756677108061,0.03135935213525691,1000,-9.178536417629723e-05,0.5694305694305695
Zionslied,0.011396275511327903,0.012100933237187441,1000,-0.0007046577258595383,0.6933066933066933
prophetische Gerichtsrede,0.001288659793814433,0.0013200187411356906,1000,-3.135894732125767e-05,0.6303696303696303
prophetische Redeweise,0.020951869764977454,0.024512948997574894,1000,-0.0035610792325974396,0.936063936063936
"prophetische Schelt-, Droh- und Mahnrede",0.03974775334306489,0.03585480470457533,1000,0.00389294863848956,0.32367632367632365
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.015069657704656686,0.01638527160108853,1000,-0.0013156138964318439,0.6163836163836164
