genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005847483566313668,0.006731797234096403,1000,-0.0008843136677827348,0.6013986013986014
Danklied des Einzelnen,0.05540375460616477,0.054439032073059924,1000,0.0009647225331048462,0.13586413586413587
Fluch,0.0038319894028998104,0.00386953406173352,1000,-3.754465883370984e-05,0.5664335664335665
Hymnus,0.16259266405915496,0.1610643712324369,1000,0.0015282928267180695,0.12487512487512488
Klagelied des Einzelnen,0.12892087146778125,0.1268453395148033,1000,0.002075531952977938,0.13986013986013987
Klagelied des Volkes,0.03360989520451085,0.034171381124449424,1000,-0.0005614859199385702,0.7242757242757243
Königspsalm,0.027056161603264614,0.030046966529194776,1000,-0.002990804925930162,0.955044955044955
Legende,0.34813795102159106,0.2372838272393156,1000,0.11085412378227547,0.37662337662337664
Liturgie,0.029847042904714797,0.026186825669052935,1000,0.003660217235661862,0.006993006993006993
Mischgedicht,0.017704989683118857,0.017468796155195854,1000,0.00023619352792300305,0.38461538461538464
Segensspruch,0.021885904254278065,0.021490688922545135,1000,0.00039521533173293016,0.3146853146853147
Segenswunsch,0.007169659288686844,0.006885017048877927,1000,0.00028464223980891653,0.17182817182817184
Siegeslied,0.0034074529100376486,0.003732687886897065,1000,-0.0003252349768594165,0.919080919080919
Thronbesteigungslied,0.023959583054016787,0.01515418778102486,1000,0.008805395272991927,0.052947052947052944
Tora,0.0016645497878584855,0.001795181538557185,1000,-0.00013063175069869958,0.7572427572427572
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.031166903139445076,0.03073403139335857,1000,0.0004328717460865064,0.27172827172827174
Zionslied,0.018965834963410734,0.01954910075127058,1000,-0.0005832657878598463,0.5384615384615384
prophetische Gerichtsrede,0.018518518518518517,0.009474286907763571,1000,0.009044231610754946,0.054945054945054944
prophetische Redeweise,0.013756129771347284,0.013936239306175451,1000,-0.00018010953482816734,0.4755244755244755
"prophetische Schelt-, Droh- und Mahnrede",0.007069211030064752,0.006541358741062744,1000,0.0005278522890020078,0.16983016983016982
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.00687565189168211,0.006617387071668276,1000,0.000258264820013834,0.2647352647352647
