genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.01057821759904861,0.01073608884701596,1000,-0.00015787124796735018,0.2627372627372627
Danklied des Einzelnen,0.05376607862456639,0.052632882969044774,1000,0.0011331956555216127,0.055944055944055944
Fluch,0.006649006016737058,0.007137483175120602,1000,-0.0004884771583835443,0.7092907092907093
Hymnus,0.1540106487764128,0.15371014314867512,1000,0.00030050562773767386,0.3626373626373626
Klagelied des Einzelnen,0.12620500224683784,0.126966191696405,1000,-0.0007611894495671567,0.6533466533466533
Klagelied des Volkes,0.038474699764962345,0.03893625942215121,1000,-0.0004615596571888661,0.5704295704295704
Königspsalm,0.022639630637382196,0.02293896931752964,1000,-0.000299338680147445,0.6453546453546454
Legende,0.07109788359788359,0.1394554165982148,1000,-0.06835753300033122,0.7082917082917083
Liturgie,0.027132486942628174,0.027504644254226333,1000,-0.00037215731159815843,0.6303696303696303
Mischgedicht,0.017301882940244435,0.01936624718976357,1000,-0.0020643642495191336,0.8541458541458542
Segensspruch,0.030276412678469734,0.027700087658519685,1000,0.0025763250199500494,0.03296703296703297
Segenswunsch,0.008814617913302205,0.010020732991594812,1000,-0.0012061150782926074,0.8931068931068931
Siegeslied,0.008412241903227776,0.009026609162634746,1000,-0.0006143672594069692,0.7542457542457542
Thronbesteigungslied,0.03673581932346251,0.031275180280567014,1000,0.005460639042895496,0.1108891108891109
Tora,0.0019212819661877988,0.0019263866023815006,1000,-5.104636193701802e-06,0.4785214785214785
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04454654485472663,0.04397011328772719,1000,0.0005764315669994427,0.3196803196803197
Zionslied,0.011780956870309858,0.014914669870771072,1000,-0.003133713000461214,0.9410589410589411
prophetische Gerichtsrede,0.00196078431372549,0.002130720855971492,1000,-0.00016993654224600188,0.8191808191808192
prophetische Redeweise,0.01866699571222768,0.019198268522303823,1000,-0.0005312728100761444,0.7472527472527473
"prophetische Schelt-, Droh- und Mahnrede",0.008561297515412894,0.0075133763920643745,1000,0.0010479211233485192,0.03496503496503497
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007384256341695486,0.007528876116724742,1000,-0.0001446197750292564,0.5464535464535465
