genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002434158201739268,0.0022846102923986095,1000,0.00014954790934065864,0.12787212787212787
Danklied des Einzelnen,0.061536415210603164,0.06110880998900386,1000,0.0004276052215993059,0.34465534465534464
Fluch,0.005955795900889303,0.0067293869315862434,1000,-0.0007735910306969403,0.7532467532467533
Hymnus,0.1759115534041586,0.17608225171038516,1000,-0.00017069830622656879,0.5424575424575424
Klagelied des Einzelnen,0.1443390307244627,0.1417981337875887,1000,0.002540896936873982,0.13286713286713286
Klagelied des Volkes,0.03285847459119713,0.031829353268331015,1000,0.0010291213228661167,0.23276723276723277
Königspsalm,0.022684146906472465,0.02372533718702673,1000,-0.0010411902805542647,0.9180819180819181
Legende,0.053734827264239025,0.03961549073701886,1000,0.014119336527220167,0.2597402597402597
Liturgie,0.014340372849313098,0.013851436054203936,1000,0.0004889367951091614,0.13786213786213786
Mischgedicht,0.00892753281518676,0.008977210821100685,1000,-4.967800591392478e-05,0.39760239760239763
Segensspruch,0.021141038069910936,0.021004534747141805,1000,0.0001365033227691305,0.4175824175824176
Segenswunsch,0.008545178329339712,0.008312104367535678,1000,0.0002330739618040343,0.3116883116883117
Siegeslied,0.004364783668860259,0.004017000419235538,1000,0.000347783249624721,0.16483516483516483
Thronbesteigungslied,0.018769008142713754,0.027827929772896495,1000,-0.00905892163018274,0.7742257742257742
Tora,1.0,0.9748333333333333,1000,0.02516666666666667,0.949050949050949
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03226753592285299,0.031055216097118348,1000,0.0012123198257346403,0.057942057942057944
Zionslied,0.008385158693921438,0.008864712226809535,1000,-0.0004795535328880971,0.5114885114885115
prophetische Gerichtsrede,0.0017064846416382253,0.0022563394866143166,1000,-0.0005498548449760913,0.7792207792207793
prophetische Redeweise,0.0158279020820483,0.013937701928022827,1000,0.0018902001540254728,0.12987012987012986
"prophetische Schelt-, Droh- und Mahnrede",0.01158653173544196,0.01422551006435772,1000,-0.002638978328915761,0.6903096903096904
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012065942431217471,0.010351567593445977,1000,0.001714374837771494,0.07992007992007992
