genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002457926481581033,0.0022988740332926328,1000,0.00015905244828840013,0.1258741258741259
Danklied des Einzelnen,0.06111886175731085,0.06187558340682223,1000,-0.0007567216495113771,0.6813186813186813
Fluch,0.005321048512136682,0.005878662783753871,1000,-0.0005576142716171885,0.6933066933066933
Hymnus,0.1748536536092342,0.1768670553365167,1000,-0.00201340172728251,0.8151848151848152
Klagelied des Einzelnen,0.14458956598671074,0.14558201505478063,1000,-0.0009924490680698894,0.6013986013986014
Klagelied des Volkes,0.03229050923974776,0.031282973639722274,1000,0.0010075356000254845,0.2547452547452547
Königspsalm,0.023177503456643257,0.023574801440097475,1000,-0.0003972979834542187,0.6213786213786214
Legende,0.04292940172855038,0.04252571001808914,1000,0.00040369171046123614,0.4065934065934066
Liturgie,0.013627288552616804,0.01332423670698542,1000,0.0003030518456313847,0.24375624375624375
Mischgedicht,0.00968761418950965,0.009928641650860853,1000,-0.00024102746135120333,0.4205794205794206
Segensspruch,0.02163810589124097,0.020914700267033418,1000,0.0007234056242075536,0.18181818181818182
Segenswunsch,0.008471615019239917,0.008624828623408696,1000,-0.0001532136041687785,0.5004995004995005
Siegeslied,0.004256539591366352,0.003937594004971827,1000,0.0003189455863945251,0.17282717282717283
Thronbesteigungslied,0.016866645811364097,0.022638159183197587,1000,-0.00577151337183349,0.3966033966033966
Tora,1.0,0.6360888888888888,1000,0.3639111111111112,0.24075924075924077
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.031014932165058826,0.031189901873795514,1000,-0.0001749697087366879,0.5494505494505495
Zionslied,0.008348385113384912,0.008992262286209944,1000,-0.0006438771728250314,0.5354645354645354
prophetische Gerichtsrede,0.001834862385321101,0.002178849416747932,1000,-0.0003439870314268308,0.5724275724275725
prophetische Redeweise,0.013629687977663361,0.01807785480518745,1000,-0.004448166827524087,0.6533466533466533
"prophetische Schelt-, Droh- und Mahnrede",0.020540676005559755,0.017127158939548876,1000,0.0034135170660108786,0.24075924075924077
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010702173004409947,0.01262583017365528,1000,-0.0019236571692453335,0.6213786213786214
