genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002566414828775682,0.0026287412761600896,1000,-6.232644738440743e-05,0.5344655344655345
Danklied des Einzelnen,0.06702950214970382,0.06590557982869857,1000,0.0011239223210052496,0.10589410589410589
Fluch,0.003624776235395752,0.0037654271513493758,1000,-0.0001406509159536237,0.8891108891108891
Hymnus,0.1849446945024623,0.18750022905965563,1000,-0.002555534557193345,0.9560439560439561
Klagelied des Einzelnen,0.1515070870235789,0.14822971903801707,1000,0.00327736798556183,0.03896103896103896
Klagelied des Volkes,0.02728864062616796,0.026530414917132417,1000,0.0007582257090355433,0.026973026973026972
Königspsalm,0.024537877348967816,0.023989777877120717,1000,0.0005480994718470994,0.15384615384615385
Legende,0.00816855141914956,0.0075821521092066906,1000,0.0005863993099428696,0.2647352647352647
Liturgie,0.012231858495547261,0.012317144445993012,1000,-8.52859504457508e-05,0.5984015984015985
Mischgedicht,0.009489359477904481,0.009553970103624047,1000,-6.46106257195661e-05,0.5264735264735265
Segensspruch,0.01779088398002898,0.018123571326770546,1000,-0.00033268734674156766,0.8271728271728271
Segenswunsch,0.0065663594307484845,0.006633896956455024,1000,-6.753752570653939e-05,0.5624375624375625
Siegeslied,0.004465134783888876,0.005058111533222242,1000,-0.0005929767493333665,0.7252747252747253
Thronbesteigungslied,0.024042218609035125,0.026519978940948978,1000,-0.002477760331913853,0.45454545454545453
Tora,0.5,0.907,1000,-0.40700000000000003,1.0
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029641362318439717,0.028848476564167294,1000,0.0007928857542724224,0.055944055944055944
Zionslied,0.009223939405673297,0.010454122296465862,1000,-0.0012301828907925645,0.5314685314685315
prophetische Gerichtsrede,0.001736111111111111,0.0019971812144821605,1000,-0.00026107010337104953,0.8281718281718282
prophetische Redeweise,0.01587734924817353,0.016431505961661253,1000,-0.0005541567134877239,0.3986013986013986
"prophetische Schelt-, Droh- und Mahnrede",0.01159570458044587,0.010826158367767433,1000,0.0007695462126784368,0.058941058941058944
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008897242429379983,0.008562653969165649,1000,0.0003345884602143339,0.06993006993006994
