genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004793775187323566,0.0059519184486793095,1000,-0.0011581432613557438,0.5284715284715285
Danklied des Einzelnen,0.06824709871712645,0.06757940587201952,1000,0.0006676928451069264,0.2967032967032967
Fluch,0.005994513499296003,0.00654443718407804,1000,-0.0005499236847820374,0.7802197802197802
Hymnus,0.16607455577870545,0.16776185453555706,1000,-0.001687298756851613,0.9460539460539461
Klagelied des Einzelnen,0.13912406901115237,0.1398187947431153,1000,-0.0006947257319629141,0.6603396603396603
Klagelied des Volkes,0.03755687173393717,0.03720696649877195,1000,0.0003499052351652182,0.32667332667332666
Königspsalm,0.029187018105630007,0.028275306582073327,1000,0.0009117115235566797,0.1998001998001998
Legende,0.060915021588702226,0.04027265383071355,1000,0.020642367757988674,0.14185814185814186
Liturgie,0.022417787703971164,0.022040023714450414,1000,0.00037776398952074977,0.34165834165834164
Mischgedicht,0.01419373399789593,0.013190179445487183,1000,0.0010035545524087475,0.23476523476523475
Segensspruch,0.025439936241405135,0.025004381833752167,1000,0.00043555440765296813,0.3046953046953047
Segenswunsch,0.010706785536919464,0.01082631404703861,1000,-0.00011952851011914553,0.5304695304695305
Siegeslied,0.008342616611231988,0.01148771888649594,1000,-0.0031451022752639526,0.935064935064935
Thronbesteigungslied,0.03678702783197433,0.03917298228717918,1000,-0.0023859544552048487,0.5944055944055944
Tora,1.0,0.9977999999999999,1000,0.0022000000000000908,0.994005994005994
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.031000555040367143,0.030719414309999957,1000,0.00028114073036718604,0.33266733266733267
Zionslied,0.01093756748166793,0.015702354807953796,1000,-0.004764787326285866,0.8881118881118881
prophetische Gerichtsrede,0.001218026796589525,0.0012228531158383611,1000,-4.826319248836227e-06,0.5324675324675324
prophetische Redeweise,0.024925563176252254,0.02201520237061498,1000,0.002910360805637273,0.24975024975024976
"prophetische Schelt-, Droh- und Mahnrede",0.024054428146313284,0.02582271646695778,1000,-0.0017682883206444969,0.45454545454545453
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01771086603249126,0.017958470273376784,1000,-0.0002476042408855253,0.47652347652347654
