genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0036071302592561106,0.003679429322986654,1000,-7.229906373054347e-05,0.6973026973026973
Danklied des Einzelnen,0.05458343195014645,0.05372255743762673,1000,0.0008608745125197187,0.000999000999000999
Fluch,0.004238015256896313,0.003922622473102585,1000,0.0003153927837937281,0.016983016983016984
Hymnus,0.1506334573743045,0.14960915906431413,1000,0.0010242983099903735,0.002997002997002997
Klagelied des Einzelnen,0.14412012288494366,0.14234137766729504,1000,0.0017787452176486196,0.005994005994005994
Klagelied des Volkes,0.03401152256906313,0.034143057177008176,1000,-0.00013153460794504412,0.6743256743256744
Königspsalm,0.02590186357688842,0.025469537952568656,1000,0.0004323256243197633,0.04095904095904096
Legende,0.16943541591428912,0.22303251277638902,1000,-0.0535970968620999,0.5074925074925075
Liturgie,0.029872317069485985,0.03036823390155395,1000,-0.0004959168320679656,0.8561438561438561
Mischgedicht,0.03133529291944062,0.0334345085605071,1000,-0.002099215641066479,0.962037962037962
Segensspruch,0.017188644836662652,0.016246855225580382,1000,0.00094178961108227,0.000999000999000999
Segenswunsch,0.006731533229753265,0.0065926135925852055,1000,0.00013891963716805913,0.18281718281718282
Siegeslied,0.003998689748558065,0.0039103435479299516,1000,8.834620062811351e-05,0.24975024975024976
Thronbesteigungslied,0.013505861798393585,0.012578153608339769,1000,0.0009277081900538157,0.03796203796203796
Tora,0.0018786870739429414,0.0020666145978582473,1000,-0.00018792752391530595,0.8331668331668332
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.027179858469723935,0.027224489502012356,1000,-4.4631032288421774e-05,0.5954045954045954
Zionslied,0.013692774120442123,0.014453449933622995,1000,-0.0007606758131808722,0.7452547452547452
prophetische Gerichtsrede,0.0058823529411764705,0.006465195367892784,1000,-0.0005828424267163134,0.7912087912087912
prophetische Redeweise,0.01100414981602137,0.010879021095728301,1000,0.00012512872029306864,0.13386613386613386
"prophetische Schelt-, Droh- und Mahnrede",0.031595789121621885,0.007120260370669616,1000,0.02447552875095227,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.005792700936018408,0.006012024044760685,1000,-0.0002193231087422769,0.9530469530469531
