genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004963062407580025,0.007075732649596251,1000,-0.002112670242016226,0.6523476523476524
Danklied des Einzelnen,0.053568597927524136,0.05278053937729076,1000,0.000788058550233374,0.16783216783216784
Fluch,0.004049549307528056,0.004169164727663984,1000,-0.00011961542013592778,0.6033966033966034
Hymnus,0.16339431977439056,0.16019888736492846,1000,0.003195432409462101,0.03996003996003996
Klagelied des Einzelnen,0.12777917617827428,0.12493932166103,1000,0.002839854517244278,0.06993006993006994
Klagelied des Volkes,0.033704913964512966,0.0344521445358856,1000,-0.0007472305713726313,0.7872127872127872
Königspsalm,0.026717857261427266,0.028516159326527356,1000,-0.0017983020651000901,0.8861138861138861
Legende,0.1753811405985319,0.19163856412621935,1000,-0.016257423527687442,0.37962037962037964
Liturgie,0.030372622652371357,0.027829100586691587,1000,0.00254352206567977,0.060939060939060936
Mischgedicht,0.017750027289325974,0.019071263146523968,1000,-0.0013212358571979936,0.7222777222777222
Segensspruch,0.018738322173410035,0.0191861156733585,1000,-0.00044779349994846646,0.7192807192807192
Segenswunsch,0.008011351117640302,0.006884943704256262,1000,0.00112640741338404,0.011988011988011988
Siegeslied,0.003540049250766759,0.003799515812338047,1000,-0.00025946656157128803,0.7872127872127872
Thronbesteigungslied,0.01990083367270049,0.014862338041931036,1000,0.005038495630769453,0.1108891108891109
Tora,0.0016250938620244993,0.001677659605861711,1000,-5.256574383721174e-05,0.6973026973026973
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.032905901870358266,0.03181840167881113,1000,0.0010875001915471375,0.14485514485514486
Zionslied,0.026819935416453153,0.022810268226887077,1000,0.004009667189566076,0.16983016983016982
prophetische Gerichtsrede,0.022222222222222223,0.008984613415440244,1000,0.01323760880678198,0.04195804195804196
prophetische Redeweise,0.017020894311284326,0.014636190541706569,1000,0.0023847037695777576,0.11888111888111888
"prophetische Schelt-, Droh- und Mahnrede",0.007429357332393955,0.00649211462099589,1000,0.000937242711398065,0.1048951048951049
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.006781932401285628,0.006670922432793007,1000,0.00011100996849262076,0.3206793206793207
