genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00847841672124747,0.008546999059839216,1000,-6.858233859174598e-05,0.2917082917082917
Danklied des Einzelnen,0.05518089705179605,0.0538001173415154,1000,0.0013807797102806524,0.06593406593406594
Fluch,0.007218211831491567,0.010939403760024245,1000,-0.0037211919285326783,0.6823176823176823
Hymnus,0.15988046170619166,0.1597233980956749,1000,0.0001570636105167611,0.44155844155844154
Klagelied des Einzelnen,0.1250446201346811,0.12574960822037154,1000,-0.0007049880856904445,0.6303696303696303
Klagelied des Volkes,0.03660103379519118,0.03765224346377352,1000,-0.0010512096685823397,0.7042957042957043
Königspsalm,0.023567013888496975,0.024187205126961965,1000,-0.0006201912384649899,0.7722277722277723
Legende,0.03479451834714992,0.0980700533587692,1000,-0.06327553501161928,0.7222777222777222
Liturgie,0.024771589744716056,0.02471204927227062,1000,5.9540472445437226e-05,0.43356643356643354
Mischgedicht,0.028738179282434953,0.02369317209975823,1000,0.005045007182676722,0.16183816183816183
Segensspruch,0.031407213982976655,0.02951201544893776,1000,0.0018951985340388937,0.15384615384615385
Segenswunsch,0.009151052307346232,0.01124946486685474,1000,-0.002098412559508508,0.9170829170829171
Siegeslied,0.008071239560994705,0.008458542815630063,1000,-0.00038730325463535824,0.6403596403596403
Thronbesteigungslied,0.02956410724843769,0.02789415398661627,1000,0.0016699532618214205,0.2917082917082917
Tora,0.002022447275633211,0.0019664503892942186,1000,5.5996886338992215e-05,0.3546453546453546
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04323383086037075,0.04313467116692431,1000,9.91596934464406e-05,0.4435564435564436
Zionslied,0.008993679914714158,0.009589559899371235,1000,-0.0005958799846570769,0.7282717282717283
prophetische Gerichtsrede,0.001597444089456869,0.001677592869720964,1000,-8.014878026409503e-05,0.7612387612387612
prophetische Redeweise,0.01746464518654879,0.018283387532274382,1000,-0.0008187423457255913,0.8441558441558441
"prophetische Schelt-, Droh- und Mahnrede",0.008466616101021568,0.006901933779817385,1000,0.0015646823212041826,0.008991008991008992
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.006334524470477152,0.0063932977470067065,1000,-5.8773276529554275e-05,0.5874125874125874
