genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005090559827683054,0.008581721371735544,1000,-0.00349116154405249,0.6353646353646354
Danklied des Einzelnen,0.061456372213652535,0.05919575853690678,1000,0.0022606136767457582,0.07192807192807193
Fluch,0.006648013914253743,0.007538065271338238,1000,-0.000890051357084495,0.9240759240759241
Hymnus,0.15731662768224053,0.15804244640750317,1000,-0.0007258187252626447,0.7282717282717283
Klagelied des Einzelnen,0.1250906632655135,0.12548192606094805,1000,-0.0003912627954345549,0.5504495504495505
Klagelied des Volkes,0.041602280368332356,0.041312122009378595,1000,0.00029015835895376124,0.3696303696303696
Königspsalm,0.025881576094352512,0.025927159896440954,1000,-4.558380208844262e-05,0.4675324675324675
Legende,0.03810107018925145,0.03430972694772753,1000,0.0037913432415239215,0.2757242757242757
Liturgie,0.022941187307930436,0.024086285808106945,1000,-0.0011450985001765085,0.8461538461538461
Mischgedicht,0.030907868850799318,0.02188255340875005,1000,0.009025315442049268,0.026973026973026972
Segensspruch,0.028766342270988832,0.025709559712525566,1000,0.003056782558463266,0.03596403596403597
Segenswunsch,0.030217202045989017,0.00900829912097642,1000,0.021208902925012596,0.000999000999000999
Siegeslied,0.008613146816174696,0.009221888355568194,1000,-0.0006087415393934981,0.7202797202797203
Thronbesteigungslied,0.0280421021091201,0.025290617208660715,1000,0.002751484900459386,0.19480519480519481
Tora,0.0017738088852810843,0.0019005349178941322,1000,-0.00012672603261304786,0.8411588411588412
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.039784588115265876,0.03857991282292366,1000,0.0012046752923422152,0.12487512487512488
Zionslied,0.009800805731087244,0.011909850771998617,1000,-0.0021090450409113736,0.8451548451548452
prophetische Gerichtsrede,0.0013623978201634877,0.001406997898846747,1000,-4.4600078683259235e-05,0.7982017982017982
prophetische Redeweise,0.016949503088289936,0.017120228325563345,1000,-0.0001707252372734093,0.5744255744255744
"prophetische Schelt-, Droh- und Mahnrede",0.007270753188687201,0.007003910688575354,1000,0.0002668425001118467,0.3066933066933067
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007219728896502471,0.007700189792828884,1000,-0.00048046089632641266,0.7392607392607392
