genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0065027877839377544,0.007153764169883263,1000,-0.0006509763859455083,0.26173826173826176
Danklied des Einzelnen,0.052951311240168726,0.051311320442152517,1000,0.0016399907980162096,0.01098901098901099
Fluch,0.00598334174898166,0.011162331836272148,1000,-0.005178990087290488,0.9600399600399601
Hymnus,0.15513544695242037,0.15449115597754676,1000,0.0006442909748736181,0.2997002997002997
Klagelied des Einzelnen,0.12093744174961912,0.1223512511829174,1000,-0.0014138094332982742,0.7552447552447552
Klagelied des Volkes,0.03701673088257228,0.038260463597206876,1000,-0.0012437327146345989,0.8951048951048951
Königspsalm,0.02314416636237746,0.02352843008965678,1000,-0.00038426372727932284,0.7262737262737263
Legende,0.029351395730706074,0.10768339396024677,1000,-0.0783319982295407,0.9230769230769231
Liturgie,0.02563984099572786,0.025509408621439036,1000,0.00013043237428882193,0.4245754245754246
Mischgedicht,0.019840137513667245,0.02301710521376017,1000,-0.003176967700092924,0.8211788211788211
Segensspruch,0.026579394834546723,0.02455185205006472,1000,0.002027542784482004,0.03896103896103896
Segenswunsch,0.00908596929367167,0.010751126583432805,1000,-0.0016651572897611357,0.6673326673326674
Siegeslied,0.008354012877477049,0.008942769569831453,1000,-0.000588756692354404,0.6823176823176823
Thronbesteigungslied,0.03466146497361702,0.02870958091209004,1000,0.0059518840615269825,0.14185814185814186
Tora,0.0018705842804514396,0.0019410708031448094,1000,-7.048652269336974e-05,0.6213786213786214
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.043641200962998235,0.04371611969682187,1000,-7.491873382363401e-05,0.4985014985014985
Zionslied,0.009209724313389612,0.010074837290918041,1000,-0.0008651129775284292,0.8091908091908092
prophetische Gerichtsrede,0.0017211703958691911,0.0017785094625245156,1000,-5.733906665532449e-05,0.6663336663336663
prophetische Redeweise,0.01920419236901012,0.020069425755418632,1000,-0.0008652333864085128,0.7652347652347652
"prophetische Schelt-, Droh- und Mahnrede",0.00814043645915077,0.007059183600853233,1000,0.0010812528582975376,0.060939060939060936
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.006360726336147076,0.006719095767794231,1000,-0.0003583694316471554,0.9080919080919081
